client_id,nom_complet,profil,anciennete_compte_jours,client_a_risque
CLI-00000,Fatoumata Traore,urbain,1682,False
CLI-00001,Djeneba Coulibaly,rural,1668,False
CLI-00002,Awa Keita,urbain,1407,False
CLI-00003,Kadiatou Bah,rural,268,False
CLI-00004,Kadiatou Maiga,rural,556,False
CLI-00005,Hawa Diakite,rural,1241,False
CLI-00006,Fatoumata Keita,urbain,1823,False
CLI-00007,Souleymane Diallo,rural,1489,False
CLI-00008,Mariam Sidibe,rural,775,False
CLI-00009,Fatoumata Barry,urbain,440,False
CLI-00010,Aminata Traore,rural,1753,False
CLI-00011,Bintou Ouattara,rural,514,False
CLI-00012,Djeneba Cisse,urbain,634,False
CLI-00013,Djeneba Coulibaly,rural,1760,False
CLI-00014,Souleymane Diakite,rural,1031,False
CLI-00015,Modibo Ouattara,urbain,493,False
CLI-00016,Aminata Traore,urbain,24,False
CLI-00017,Ibrahim Diallo,rural,793,False
CLI-00018,Hawa Fofana,urbain,1799,False
CLI-00019,Seydou Barry,rural,797,False
CLI-00020,Aminata Traore,rural,1281,False
CLI-00021,Moussa Fofana,rural,472,False
CLI-00022,Mariam Kone,rural,1418,False
CLI-00023,Adama Fofana,urbain,1419,False
CLI-00024,Modibo Fofana,urbain,1116,False
CLI-00025,Awa Diallo,rural,1412,False
CLI-00026,Kadiatou Cisse,rural,1062,False
CLI-00027,Modibo Bah,rural,699,False
CLI-00028,Aminata Ouattara,urbain,1350,False
CLI-00029,Kadiatou Traore,rural,1526,False
CLI-00030,Seydou Toure,urbain,1537,False
CLI-00031,Ousmane Toure,rural,400,False
CLI-00032,Fatoumata Konate,rural,1239,False
CLI-00033,Aminata Kone,urbain,22,False
CLI-00034,Hawa Ouattara,urbain,1050,False
CLI-00035,Fatoumata Maiga,rural,1048,True
CLI-00036,Hawa Diakite,urbain,672,False
CLI-00037,Modibo Sangare,urbain,1814,False
CLI-00038,Ousmane Traore,rural,1613,False
CLI-00039,Awa Bah,rural,84,False
CLI-00040,Ibrahim Coulibaly,rural,392,False
CLI-00041,Djeneba Fofana,urbain,391,False
CLI-00042,Souleymane Bah,rural,1639,False
CLI-00043,Moussa Traore,rural,954,False
CLI-00044,Fatoumata Traore,rural,1334,False
CLI-00045,Bintou Traore,urbain,1480,False
CLI-00046,Seydou Kone,rural,1404,False
CLI-00047,Adama Traore,urbain,176,False
CLI-00048,Souleymane Diakite,rural,269,False
CLI-00049,Modibo Sanogo,urbain,730,False
CLI-00050,Djeneba Barry,rural,627,False
CLI-00051,Mariam Diakite,rural,1367,False
CLI-00052,Moussa Barry,urbain,297,False
CLI-00053,Seydou Toure,urbain,687,False
CLI-00054,Seydou Coulibaly,rural,443,False
CLI-00055,Amadou Ouattara,rural,356,False
CLI-00056,Aminata Toure,urbain,327,False
CLI-00057,Ibrahim Diallo,urbain,368,False
CLI-00058,Djeneba Cisse,rural,1036,False
CLI-00059,Souleymane Diakite,rural,757,False
CLI-00060,Adama Barry,urbain,802,False
CLI-00061,Djeneba Bah,urbain,882,False
CLI-00062,Moussa Kone,urbain,1356,False
CLI-00063,Bintou Maiga,rural,1574,False
CLI-00064,Kadiatou Ouattara,rural,967,False
CLI-00065,Aissata Cisse,urbain,1177,False
CLI-00066,Adama Diakite,urbain,1351,False
CLI-00067,Moussa Ouattara,urbain,1264,False
CLI-00068,Fatoumata Konate,rural,258,False
CLI-00069,Seydou Traore,rural,1794,False
CLI-00070,Modibo Konate,urbain,313,True
CLI-00071,Mariam Sangare,rural,760,False
CLI-00072,Seydou Kone,urbain,1196,False
CLI-00073,Ibrahim Kone,rural,745,False
CLI-00074,Souleymane Cisse,urbain,455,False
CLI-00075,Seydou Keita,urbain,1686,False
CLI-00076,Aissata Keita,rural,144,False
CLI-00077,Ousmane Maiga,rural,460,False
CLI-00078,Boubacar Keita,urbain,1812,False
CLI-00079,Souleymane Fofana,rural,1335,False
CLI-00080,Adama Diallo,rural,172,False
CLI-00081,Kadiatou Ouattara,urbain,1380,False
CLI-00082,Ibrahim Konate,urbain,1769,False
CLI-00083,Modibo Kone,rural,191,False
CLI-00084,Awa Diakite,rural,764,False
CLI-00085,Souleymane Maiga,rural,862,False
CLI-00086,Fatoumata Traore,rural,252,False
CLI-00087,Aissata Sangare,rural,378,False
CLI-00088,Djeneba Traore,rural,329,False
CLI-00089,Modibo Toure,urbain,350,False
CLI-00090,Kadiatou Diallo,rural,745,False
CLI-00091,Modibo Cisse,urbain,854,False
CLI-00092,Hawa Keita,rural,445,False
CLI-00093,Moussa Barry,rural,538,False
CLI-00094,Adama Maiga,urbain,362,False
CLI-00095,Aissata Fofana,urbain,1455,False
CLI-00096,Ousmane Keita,rural,398,False
CLI-00097,Souleymane Traore,rural,1657,False
CLI-00098,Awa Diallo,rural,990,False
CLI-00099,Ibrahim Fofana,rural,1467,False
CLI-00100,Modibo Traore,rural,1166,False
CLI-00101,Mariam Traore,rural,496,False
CLI-00102,Modibo Sangare,rural,1103,False
CLI-00103,Amadou Ouattara,rural,511,False
CLI-00104,Modibo Konate,urbain,229,False
CLI-00105,Modibo Cisse,urbain,476,False
CLI-00106,Modibo Sidibe,rural,513,False
CLI-00107,Awa Sangare,rural,259,False
CLI-00108,Seydou Diarra,rural,57,False
CLI-00109,Souleymane Diallo,rural,1723,False
CLI-00110,Ousmane Maiga,urbain,944,False
CLI-00111,Modibo Sangare,urbain,742,False
CLI-00112,Boubacar Diarra,urbain,1698,False
CLI-00113,Seydou Barry,urbain,421,False
CLI-00114,Aminata Sanogo,urbain,744,False
CLI-00115,Boubacar Konate,urbain,1547,False
CLI-00116,Amadou Keita,rural,1158,False
CLI-00117,Ibrahim Diakite,rural,737,False
CLI-00118,Ousmane Toure,rural,478,False
CLI-00119,Ibrahim Fofana,rural,78,False
CLI-00120,Kadiatou Ouattara,rural,168,False
CLI-00121,Souleymane Sanogo,urbain,308,False
CLI-00122,Awa Konate,urbain,1438,False
CLI-00123,Seydou Kone,rural,1172,False
CLI-00124,Hawa Toure,rural,799,False
CLI-00125,Boubacar Barry,rural,1432,False
CLI-00126,Fatoumata Keita,rural,306,False
CLI-00127,Djeneba Coulibaly,urbain,396,False
CLI-00128,Boubacar Sidibe,rural,725,False
CLI-00129,Awa Sanogo,urbain,1675,False
CLI-00130,Boubacar Keita,rural,1126,True
CLI-00131,Aminata Cisse,rural,1555,False
CLI-00132,Fatoumata Toure,rural,464,False
CLI-00133,Boubacar Fofana,urbain,1550,False
CLI-00134,Modibo Sidibe,urbain,146,False
CLI-00135,Aissata Bah,rural,427,False
CLI-00136,Boubacar Kone,urbain,961,False
CLI-00137,Amadou Kone,rural,106,False
CLI-00138,Moussa Konate,urbain,1568,False
CLI-00139,Kadiatou Keita,rural,1585,False
CLI-00140,Bintou Cisse,rural,995,False
CLI-00141,Mariam Sidibe,urbain,568,False
